title,company,location,link
Security Engineer - Red Team,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=bf81270acb9229dd
Application Security Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=85f4aecbeb41aba4
DevOps Manager,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=295b0b50b7909a9a
FPGA Developer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=edcee7ce3b30aeeb
C4025J - Software Engineer I,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=c8034b017e9dfe63
Senior Data Engineer,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=7179a7e983d02cf6
Data Engineer,auticon,"Columbus, OH",https://www.indeed.com/viewjob?jk=7c5f21ba2266bf7f
Systems Security Engineer,Centauri,"Columbus, OH",https://www.indeed.com/viewjob?jk=ca0a1f5793b8ab6e
Cyber Engineer Co-op (Summer 2021),Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=bd49534e9278b083
Senior Security Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=32172273e192a9e2
Security Penetration Tester Delivery Manager - Location Negotiable,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=4dfb8bd1eefd255d
Site Reliability Engineer,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=db85fb438a5a77d8
Systems Engineering Intelligent Automation Test Data Management Consultant,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=2d9b3fd587098f61
Senior Architect,TRA'BIAN ENTERPRISES,"Columbus, OH",https://www.indeed.com/viewjob?jk=f46488bb6f0fc4a3
Azure Data & Analytics Consultant,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=f29f8091068deb52
Software Developer Sr.,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=87cdf77e9f943d1f
Systems Engineering Intelligent Automation Cloud Testing Consultant,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=174d4e3de9ef58d2
Principal Cloud Software Engineer - Apache Cassandra,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=2e0b0f6db9aaa3f1
